epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,26035.8,0.81404,0.91831,0.27279,0.00153,0.11542,0.97812,0.97681,0.9868,0.90373,0.96924,0.96797,0.97537,0.72281,0.33299,0.48186,0.14412,0.0023,0,0.0009308,0.0009308,0.0009308
56,26536.5,0.80631,0.90384,0.27409,0.00153,0.12105,0.96958,0.98123,0.98511,0.90351,0.96725,0.96576,0.97323,0.72298,0.30927,0.50735,0.14327,0.00197,0,0.000911,0.000911,0.000911
57,26944.2,0.82363,0.93684,0.27444,0.00154,0.12602,0.97914,0.97957,0.98553,0.90731,0.97139,0.97184,0.98164,0.72129,0.28656,0.4863,0.12874,0.00158,0,0.0008912,0.0008912,0.0008912
58,27319.1,0.79538,0.89557,0.26782,0.0015,0.11421,0.97671,0.97736,0.98532,0.89984,0.9613,0.97392,0.98149,0.71643,0.32648,0.49134,0.15929,0.00219,0,0.0008714,0.0008714,0.0008714
59,27728.5,0.80561,0.91335,0.26904,0.00151,0.11904,0.9639,0.98781,0.98357,0.9069,0.95478,0.97846,0.9803,0.72333,0.29746,0.46899,0.14587,0.00182,0,0.0008516,0.0008516,0.0008516
60,28199.3,0.80282,0.9009,0.26967,0.00152,0.11238,0.97962,0.97129,0.98344,0.90606,0.97382,0.96521,0.97979,0.72935,0.29897,0.46613,0.13277,0.00189,0,0.0008318,0.0008318,0.0008318
61,28610.2,0.79934,0.90007,0.2751,0.0015,0.13109,0.96876,0.98012,0.98438,0.90517,0.9593,0.97613,0.98122,0.72543,0.29392,0.47341,0.13169,0.00175,0,0.000812,0.000812,0.000812
62,28993.6,0.79988,0.90867,0.26915,0.0015,0.11953,0.96999,0.98175,0.98518,0.90799,0.96283,0.97239,0.98121,0.72551,0.29272,0.49757,0.14232,0.00174,0,0.0007922,0.0007922,0.0007922
63,29452.7,0.80471,0.91155,0.26954,0.0015,0.124,0.97552,0.97957,0.98493,0.90783,0.96599,0.97018,0.97301,0.72425,0.28224,0.50078,0.13081,0.00152,0,0.0007724,0.0007724,0.0007724
64,29822,0.8014,0.89232,0.26747,0.0015,0.11856,0.97071,0.98564,0.98561,0.91052,0.96298,0.98067,0.98308,0.72898,0.28485,0.49704,0.12951,0.00158,0,0.0007526,0.0007526,0.0007526
65,30243.4,0.79493,0.89262,0.26436,0.00148,0.1131,0.9726,0.98399,0.98503,0.90845,0.96745,0.97736,0.98168,0.72177,0.28887,0.50098,0.13336,0.00167,0,0.0007328,0.0007328,0.0007328
66,30679,0.78817,0.89277,0.26613,0.0015,0.11708,0.97647,0.98545,0.98439,0.90678,0.96897,0.97626,0.98193,0.72284,0.28825,0.50642,0.13384,0.0017,0,0.000713,0.000713,0.000713
67,31141.8,0.80801,0.9187,0.27183,0.00151,0.1225,0.97325,0.98456,0.98547,0.91051,0.97075,0.97115,0.98201,0.72815,0.27948,0.49498,0.13746,0.00152,0,0.0006932,0.0006932,0.0006932
68,31523.6,0.78471,0.88551,0.26161,0.00148,0.11395,0.97218,0.98396,0.98614,0.90904,0.96919,0.96853,0.98173,0.72957,0.29153,0.50046,0.12947,0.00178,0,0.0006734,0.0006734,0.0006734
69,31943.3,0.78133,0.87005,0.26537,0.00147,0.12051,0.97535,0.98324,0.98505,0.91013,0.96768,0.97551,0.9816,0.72436,0.28643,0.47584,0.14095,0.00171,0,0.0006536,0.0006536,0.0006536
70,32382.4,0.79275,0.89388,0.26622,0.00149,0.11908,0.98181,0.98338,0.98477,0.90946,0.97409,0.97565,0.9726,0.71592,0.28916,0.49495,0.12335,0.00171,0,0.0006338,0.0006338,0.0006338
71,32846.7,0.79139,0.89192,0.26309,0.00148,0.11251,0.97652,0.9874,0.98542,0.91152,0.96833,0.97912,0.98165,0.72573,0.27536,0.49465,0.12455,0.00152,0,0.000614,0.000614,0.000614
72,33278.8,0.78129,0.87551,0.26118,0.00146,0.11487,0.97587,0.9827,0.9835,0.90895,0.96868,0.97352,0.98025,0.72928,0.27574,0.48932,0.1268,0.00149,0,0.0005942,0.0005942,0.0005942
73,33718.3,0.77837,0.87225,0.25822,0.00145,0.10863,0.97435,0.98785,0.98521,0.91227,0.96412,0.97846,0.98219,0.72604,0.28495,0.47735,0.13188,0.00174,0,0.0005744,0.0005744,0.0005744
74,34116.9,0.79215,0.89159,0.26266,0.00146,0.11446,0.97435,0.98343,0.98464,0.91005,0.96724,0.97626,0.98186,0.72458,0.28124,0.48429,0.13443,0.00163,0,0.0005546,0.0005546,0.0005546
75,34586.1,0.78696,0.88705,0.26369,0.00146,0.11708,0.97891,0.98178,0.98523,0.91172,0.96876,0.97184,0.97337,0.72561,0.28388,0.47781,0.13229,0.00167,0,0.0005348,0.0005348,0.0005348
76,35033.9,0.77976,0.88071,0.26239,0.00145,0.11423,0.97245,0.98233,0.98604,0.91179,0.96316,0.97294,0.97462,0.72239,0.27558,0.47659,0.12947,0.00146,0,0.000515,0.000515,0.000515
77,35436.8,0.78002,0.87462,0.26334,0.00144,0.11236,0.9802,0.98178,0.98543,0.91252,0.97133,0.9729,0.98172,0.72949,0.27364,0.48938,0.12579,0.00146,0,0.0004952,0.0004952,0.0004952
78,35851.4,0.77213,0.8646,0.2583,0.00144,0.1144,0.98032,0.98233,0.98564,0.91165,0.97315,0.97515,0.98347,0.73207,0.27344,0.4847,0.11605,0.00148,0,0.0004754,0.0004754,0.0004754
79,36287.2,0.77429,0.86347,0.25471,0.00143,0.1112,0.97802,0.98265,0.98634,0.91313,0.96911,0.97014,0.97469,0.72655,0.26874,0.48776,0.13012,0.00144,0,0.0004556,0.0004556,0.0004556
80,36752.3,0.78077,0.87276,0.25423,0.00144,0.10953,0.97652,0.98564,0.98646,0.91399,0.96873,0.97846,0.9827,0.73148,0.27653,0.50501,0.12035,0.00158,0,0.0004358,0.0004358,0.0004358
81,37206,0.77242,0.87387,0.25824,0.00143,0.11396,0.98012,0.98001,0.9867,0.91402,0.9717,0.96963,0.97526,0.72755,0.27773,0.5055,0.12265,0.00157,0,0.000416,0.000416,0.000416
82,37721.7,0.77087,0.86668,0.25415,0.00143,0.10957,0.97647,0.98519,0.98635,0.91452,0.96771,0.97643,0.98341,0.72949,0.27681,0.49632,0.13108,0.00156,0,0.0003962,0.0003962,0.0003962
83,38139.1,0.76574,0.85782,0.25649,0.00144,0.11776,0.97453,0.98509,0.98599,0.91274,0.96724,0.97824,0.98342,0.72804,0.27848,0.48828,0.13593,0.0016,0,0.0003764,0.0003764,0.0003764
84,38507.9,0.7667,0.8583,0.25388,0.00144,0.11423,0.97326,0.98461,0.98677,0.91644,0.96619,0.98123,0.98439,0.72898,0.27275,0.47802,0.12607,0.00152,0,0.0003566,0.0003566,0.0003566
85,38902.5,0.76332,0.85395,0.2546,0.00145,0.11182,0.97626,0.98123,0.98726,0.9144,0.9698,0.9735,0.9759,0.72808,0.26974,0.47411,0.12311,0.00145,0,0.0003368,0.0003368,0.0003368
86,39378.5,0.77435,0.86405,0.25851,0.00143,0.12005,0.97594,0.98564,0.98656,0.91401,0.96883,0.97846,0.97556,0.72504,0.26844,0.48545,0.11847,0.00141,0,0.000317,0.000317,0.000317
87,39762.1,0.75827,0.84333,0.24877,0.00141,0.11016,0.97701,0.98567,0.98612,0.91283,0.96991,0.97879,0.97514,0.72967,0.26741,0.47088,0.12557,0.0014,0,0.0002972,0.0002972,0.0002972
88,40209.9,0.76809,0.86563,0.255,0.0014,0.10654,0.97492,0.98509,0.98602,0.91352,0.96668,0.97681,0.97468,0.72791,0.27228,0.47011,0.11851,0.00145,0,0.0002774,0.0002774,0.0002774
89,40705.7,0.77754,0.8669,0.25604,0.00142,0.11489,0.97385,0.98707,0.98601,0.91342,0.96678,0.98039,0.9827,0.72707,0.27032,0.47846,0.12262,0.00142,0,0.0002576,0.0002576,0.0002576
90,41127.6,0.75374,0.83897,0.24996,0.00137,0.10812,0.97808,0.98551,0.98683,0.91458,0.96802,0.97626,0.97539,0.72732,0.2669,0.47298,0.11745,0.00137,0,0.0002378,0.0002378,0.0002378
91,41478.9,0.71904,0.85642,0.23707,0.00152,0.10948,0.97623,0.98454,0.9878,0.91385,0.96717,0.97612,0.97643,0.73022,0.27266,0.46151,0.12687,0.00147,0,0.000218,0.000218,0.000218
92,41786.4,0.70442,0.83224,0.23011,0.00151,0.11045,0.98013,0.98067,0.98713,0.91488,0.97203,0.9735,0.97576,0.72877,0.26979,0.46351,0.11615,0.00142,0,0.0001982,0.0001982,0.0001982
93,42093.7,0.71228,0.83857,0.2321,0.00149,0.10898,0.97844,0.98123,0.98763,0.91485,0.97021,0.97239,0.97578,0.72675,0.27009,0.46525,0.11675,0.00142,0,0.0001784,0.0001784,0.0001784
94,42400.9,0.70831,0.84066,0.23052,0.0015,0.11032,0.9744,0.98788,0.98668,0.91354,0.9646,0.97794,0.97431,0.72915,0.26829,0.46897,0.12933,0.00142,0,0.0001586,0.0001586,0.0001586
95,42708.8,0.70455,0.84325,0.23162,0.00149,0.10987,0.97594,0.98547,0.98696,0.91534,0.96664,0.97613,0.97495,0.72489,0.26778,0.46797,0.12152,0.00141,0,0.0001388,0.0001388,0.0001388
96,43018.1,0.69459,0.83174,0.22888,0.00149,0.10878,0.97798,0.9873,0.98653,0.91398,0.96866,0.97791,0.9747,0.72648,0.26801,0.46452,0.11942,0.00143,0,0.000119,0.000119,0.000119
97,43325.8,0.69776,0.83689,0.2311,0.00148,0.10864,0.9823,0.98041,0.98654,0.91436,0.974,0.97209,0.97491,0.72776,0.2641,0.46518,0.11822,0.00138,0,9.92e-05,9.92e-05,9.92e-05
98,43647,0.70452,0.84071,0.23048,0.00146,0.10751,0.97849,0.98399,0.9857,0.9146,0.96916,0.9746,0.97384,0.72664,0.26478,0.47048,0.12527,0.00137,0,7.94e-05,7.94e-05,7.94e-05
99,43985.9,0.70052,0.84024,0.23039,0.00147,0.10776,0.97855,0.98263,0.98586,0.91387,0.96921,0.97328,0.97376,0.72747,0.26426,0.46693,0.12707,0.00137,0,5.96e-05,5.96e-05,5.96e-05
100,44293.3,0.70394,0.83901,0.22952,0.00147,0.1066,0.98124,0.98177,0.9858,0.91349,0.97131,0.97201,0.9735,0.72758,0.26609,0.46827,0.11958,0.0014,0,3.98e-05,3.98e-05,3.98e-05
